poligono_id,anio,poblacion_estimada,densidad_hab_km2,confianza_inferior,confianza_superior
itaembe_guazu,2023,32519,4255.4,26015,39023
itaembe_guazu,2024,32548,4259.2,26038,39058
itaembe_guazu,2025,32555,4260.2,26043,39066
posadas_completa,2018,139708,1312.3,111748,167671
posadas_completa,2019,168994,1587.4,135175,202814
posadas_completa,2020,174704,1641.0,139745,209669
posadas_completa,2021,188833,1773.8,151043,226620
posadas_completa,2022,194195,1824.1,155333,233059
posadas_completa,2023,201202,1889.9,160941,241460
posadas_completa,2024,208875,1962.0,167079,250675
posadas_completa,2025,212186,1993.1,169728,254648
