poligono_id,fecha,s1_vv_mean_db,s1_vh_mean_db,s1_cross_ratio,delta_vv_mean_db,n_imagenes_vv,n_imagenes_vh,version_script,fecha_calculo
monsenor_kemerer,2019-07,-5.059793290645926,-14.272703522473515,9.212910231827589,0.3433196267566414,2,2,0.1.0,2026-04-27T06:23:15
monsenor_kemerer,2020-07,-4.463570845738518,-13.740121928190325,9.276551082451807,0.5962224449074078,6,6,0.1.0,2026-04-27T06:23:16
monsenor_kemerer,2021-07,-5.013716263182263,-14.399665595867216,9.385949332684952,-0.550145417443745,7,7,0.1.0,2026-04-27T06:23:16
monsenor_kemerer,2022-07,-5.027206245147491,-14.218607190082885,9.191400944935394,-0.013489981965228104,3,3,0.1.0,2026-04-27T06:23:18
monsenor_kemerer,2023-07,-5.012364449648137,-14.204847603910336,9.192483154262199,0.014841795499354049,7,7,0.1.0,2026-04-27T06:23:19
monsenor_kemerer,2024-07,-4.740407547478232,-13.925605415203284,9.185197867725051,0.2719569021699053,7,7,0.1.0,2026-04-27T06:23:19
monsenor_kemerer,2025-07,-4.721766111322934,-13.679563787628899,8.957797676305965,0.01864143615529823,8,8,0.1.0,2026-04-27T06:23:20
monsenor_kemerer,2026-07,,,,,0,0,0.1.0,2026-04-27T06:23:21
nemesio_parma,2018-07,-11.838106747422659,-18.399582326295334,6.561475578872676,,8,8,0.1.0,2026-04-27T06:26:23
nemesio_parma,2019-07,-11.397026374009116,-17.49435889534676,6.097332521337645,0.4410803734135431,2,2,0.1.0,2026-04-27T06:26:26
nemesio_parma,2020-07,-10.448359098567446,-16.574258444706487,6.125899346139041,0.9486672754416698,6,6,0.1.0,2026-04-27T06:26:26
nemesio_parma,2021-07,-11.191528815535596,-17.733827871728845,6.542299056193249,-0.7431697169681506,7,7,0.1.0,2026-04-27T06:26:29
nemesio_parma,2022-07,-10.601987583990336,-16.566193598948885,5.964206014958549,0.58954123154526,3,3,0.1.0,2026-04-27T06:26:30
nemesio_parma,2023-07,-10.622936154230057,-16.64611294259266,6.023176788362601,-0.020948570239720965,7,7,0.1.0,2026-04-27T06:26:31
nemesio_parma,2024-07,-10.557815520403679,-16.555260901256695,5.997445380853016,0.06512063382637834,7,7,0.1.0,2026-04-27T06:26:32
nemesio_parma,2025-07,-10.198495075854087,-16.062420982233125,5.863925906379038,0.3593204445495921,8,8,0.1.0,2026-04-27T06:26:33
nemesio_parma,2026-07,,,,,0,0,0.1.0,2026-04-27T06:26:35
norte,2018-07,-9.923441120713658,-16.284062861168437,6.3606217404547785,,8,8,0.1.0,2026-04-27T06:25:41
norte,2019-07,-9.618537247247797,-15.597934735005419,5.9793974877576215,0.3049038734658609,2,2,0.1.0,2026-04-27T06:25:42
norte,2020-07,-8.826477681856858,-14.90043761961565,6.073959937758792,0.7920595653909395,6,6,0.1.0,2026-04-27T06:25:43
norte,2021-07,-9.783753479870317,-16.09730898103514,6.313555501164824,-0.957275798013459,7,7,0.1.0,2026-04-27T06:25:44
norte,2022-07,-9.158675810623683,-15.393479681469767,6.2348038708460845,0.6250776692466342,3,3,0.1.0,2026-04-27T06:25:46
norte,2023-07,-8.796812412527657,-15.090860932040677,6.294048519513019,0.3618633980960251,7,7,0.1.0,2026-04-27T06:25:47
norte,2024-07,-9.042574034109784,-15.185685788287412,6.143111754177628,-0.2457616215821261,7,7,0.1.0,2026-04-27T06:25:48
norte,2025-07,-8.876722347431274,-15.16350095008905,6.286778602657776,0.16585168667850958,8,8,0.1.0,2026-04-27T06:25:49
norte,2026-07,,,,,0,0,0.1.0,2026-04-27T06:25:51
nu_pora,2018-07,-9.64848112129435,-14.512090244665394,4.8636091233710435,,8,8,0.1.0,2026-04-27T06:25:22
nu_pora,2019-07,-9.257162897070026,-13.987082808053197,4.72991991098317,0.3913182242243245,2,2,0.1.0,2026-04-27T06:25:23
nu_pora,2020-07,-8.307562390942298,-13.573188970314135,5.265626579371837,0.9496005061277284,6,6,0.1.0,2026-04-27T06:25:24
