poligono_id,anio,superficie_construida_km2,superficie_vegetacion_km2,edificios_total,confianza_inferior,confianza_superior
miguel_lanus,2018,0.0441,1.9023,441,374,508
miguel_lanus,2019,0.0638,1.8826,638,542,734
miguel_lanus,2020,0.0676,1.8788,676,574,778
miguel_lanus,2021,0.0771,1.8693,771,655,887
miguel_lanus,2022,0.0798,1.8666,798,678,918
miguel_lanus,2023,0.0858,1.8606,858,729,987
miguel_lanus,2024,0.0899,1.8565,899,764,1034
miguel_lanus,2025,0.0929,1.8535,929,789,1069
norte,2018,0.003,2.6289,30,25,35
norte,2019,0.0038,2.6281,38,32,44
norte,2020,0.0041,2.6278,41,34,48
norte,2021,0.0053,2.6266,53,45,61
norte,2022,0.0054,2.6265,54,45,63
norte,2023,0.0056,2.6263,56,47,65
norte,2024,0.0063,2.6256,63,53,73
norte,2025,0.0069,2.625,69,58,80
centro,2018,0.3937,1.614,3937,3346,4528
centro,2019,0.4279,1.5798,4279,3637,4921
centro,2020,0.4329,1.5748,4329,3679,4979
centro,2021,0.4444,1.5633,4444,3777,5111
centro,2022,0.4469,1.5608,4469,3798,5140
centro,2023,0.4516,1.5561,4516,3838,5194
centro,2024,0.4597,1.548,4597,3907,5287
centro,2025,0.4614,1.5463,4614,3921,5307
complejo_gervasio_artigas,2018,0.0368,3.6734,368,312,424
complejo_gervasio_artigas,2019,0.0466,3.6636,466,396,536
complejo_gervasio_artigas,2020,0.0487,3.6615,487,413,561
complejo_gervasio_artigas,2021,0.0521,3.6581,521,442,600
complejo_gervasio_artigas,2022,0.0527,3.6575,527,447,607
complejo_gervasio_artigas,2023,0.0552,3.655,552,469,635
complejo_gervasio_artigas,2024,0.056,3.6542,560,476,644
complejo_gervasio_artigas,2025,0.0571,3.6531,571,485,657
federal,2018,0.0005,2.7125,5,4,6
federal,2019,0.0008,2.7122,8,6,10
federal,2020,0.001,2.712,10,8,12
federal,2021,0.0013,2.7117,13,11,15
federal,2022,0.0013,2.7117,13,11,15
federal,2023,0.0013,2.7117,13,11,15
federal,2024,0.0014,2.7116,14,11,17
federal,2025,0.0014,2.7116,14,11,17
nemesio_parma,2018,0.0,2.1381,0,0,0
nemesio_parma,2019,0.0,2.1381,0,0,0
nemesio_parma,2020,0.0,2.1381,0,0,0
nemesio_parma,2021,0.0,2.1381,0,0,0
nemesio_parma,2022,0.0,2.1381,0,0,0
nemesio_parma,2023,0.0,2.1381,0,0,0
nemesio_parma,2024,0.0,2.1381,0,0,0
