poligono_id,fecha,s1_vv_mean_db,s1_vh_mean_db,s1_cross_ratio,delta_vv_mean_db,n_imagenes_vv,n_imagenes_vh,version_script,fecha_calculo
cima_del_sol,2022-07,-7.533108898320822,-15.682923107071936,8.149814208751113,0.5600749350237146,3,3,0.1.0,2026-04-28T09:51:26
cima_del_sol,2023-07,-7.329504297640062,-15.354252106551764,8.024747808911703,0.2036046006807597,7,7,0.1.0,2026-04-28T09:51:27
cima_del_sol,2024-07,-7.353210805261665,-15.186083945717757,7.83287314045609,-0.0237065076216032,7,7,0.1.0,2026-04-28T09:51:28
cima_del_sol,2025-07,-6.945142226655015,-14.883166967266108,7.938024740611093,0.4080685786066498,8,8,0.1.0,2026-04-28T09:51:29
cima_del_sol,2026-07,,,,,0,0,0.1.0,2026-04-28T09:51:29
cit_riberas_del_parana,2018-07,-5.4873780850589915,-14.432606604179501,8.945228519120509,,8,8,0.1.0,2026-05-08T23:48:55
cit_riberas_del_parana,2019-07,-5.2700605460607255,-13.918062376795914,8.64800183073519,0.217317538998266,2,2,0.1.0,2026-05-08T23:48:56
cit_riberas_del_parana,2020-07,-4.838095034529255,-13.594871732951802,8.756776698422547,0.43196551153147045,6,6,0.1.0,2026-05-08T23:48:57
cit_riberas_del_parana,2021-07,-5.296576174268136,-14.00890603418845,8.712329859920315,-0.4584811397388808,7,7,0.1.0,2026-05-08T23:48:59
cit_riberas_del_parana,2022-07,-5.1230653978779985,-13.616793414593698,8.4937280167157,0.17351077639013734,3,3,0.1.0,2026-05-08T23:49:02
cit_riberas_del_parana,2023-07,-5.112133955345786,-13.585694636889947,8.47356068154416,0.010931442532212898,7,7,0.1.0,2026-05-08T23:49:03
cit_riberas_del_parana,2024-07,-4.991310086016408,-13.485319164531564,8.494009078515155,0.12082386932937794,7,7,0.1.0,2026-05-08T23:49:04
cit_riberas_del_parana,2025-07,-4.784048460808078,-12.988523360740565,8.204474899932487,0.20726162520832947,8,8,0.1.0,2026-05-08T23:49:05
cit_riberas_del_parana,2026-07,,,,,0,0,0.1.0,2026-05-08T23:49:06
cit_riberas_del_parana_oeste,2018-07,-5.6374919003264035,-14.847946380903185,9.210454480576782,,8,8,0.1.0,2026-05-08T23:51:03
cit_riberas_del_parana_oeste,2019-07,-5.338509575919659,-14.438062666316398,9.09955309039674,0.29898232440674466,2,2,0.1.0,2026-05-08T23:51:04
cit_riberas_del_parana_oeste,2020-07,-4.766333785945784,-13.983685480545011,9.217351694599227,0.5721757899738744,6,6,0.1.0,2026-05-08T23:51:05
cit_riberas_del_parana_oeste,2021-07,-4.972723305815477,-14.566988517592744,9.594265211777266,-0.20638951986969278,7,7,0.1.0,2026-05-08T23:51:06
cit_riberas_del_parana_oeste,2022-07,-4.827613437678947,-14.257081974742311,9.429468537063364,0.14510986813653037,3,3,0.1.0,2026-05-08T23:51:07
cit_riberas_del_parana_oeste,2023-07,-4.847050629618404,-14.202049504164165,9.35499887454576,-0.019437191939457144,7,7,0.1.0,2026-05-08T23:51:08
cit_riberas_del_parana_oeste,2024-07,-4.720564855649161,-14.119389765347288,9.398824909698128,0.1264857739692431,7,7,0.1.0,2026-05-08T23:51:09
cit_riberas_del_parana_oeste,2025-07,-4.773754328671297,-13.877027876863364,9.103273548192067,-0.053189473022135836,8,8,0.1.0,2026-05-08T23:51:10
cit_riberas_del_parana_oeste,2026-07,,,,,0,0,0.1.0,2026-05-08T23:51:11
cit_villa_cabello,2018-07,-13.007461332120476,-19.536490333541185,6.529029001420708,,8,8,0.1.0,2026-05-08T23:49:24
cit_villa_cabello,2019-07,-12.43143137066156,-18.670296160467355,6.238864789805795,0.5760299614589162,2,2,0.1.0,2026-05-08T23:49:29
cit_villa_cabello,2020-07,-11.421267361784777,-17.345996203272513,5.924728841487736,1.0101640088767834,6,6,0.1.0,2026-05-08T23:49:32
cit_villa_cabello,2021-07,-12.358427657674936,-18.926563032264205,6.56813537458927,-0.937160295890159,7,7,0.1.0,2026-05-08T23:49:39
cit_villa_cabello,2022-07,-11.687780220318995,-17.929085453848366,6.241305233529371,0.6706474373559406,3,3,0.1.0,2026-05-08T23:49:42
cit_villa_cabello,2023-07,-11.173700435278755,-17.593201598538055,6.4195011632593,0.5140797850402397,7,7,0.1.0,2026-05-08T23:49:46
cit_villa_cabello,2024-07,-11.232823957891503,-17.5955935754551,6.362769617563599,-0.05912352261274734,7,7,0.1.0,2026-05-08T23:49:55
cit_villa_cabello,2025-07,-11.097597448351973,-17.219771197664222,6.12217374931225,0.13522650953952997,8,8,0.1.0,2026-05-08T23:49:59
cit_villa_cabello,2026-07,,,,,0,0,0.1.0,2026-05-08T23:50:05
colonia_laosiana,2018-07,-11.05574707188863,-17.53445618324005,6.478709111351419,,8,8,0.1.0,2026-04-28T09:47:36
colonia_laosiana,2019-07,-10.77173051737643,-16.96289282667102,6.19116230929459,0.28401655451220087,2,2,0.1.0,2026-04-28T09:47:37
