poligono_id,anio,estacion,uhi_vs_rural_mean,uhi_vs_ciudad_mean,lst_mean,n_meses
complejo_habitacional_virgen_de_fatima,2021,invierno,0.08,0.25,22.48,1
complejo_habitacional_virgen_de_fatima,2021,otono,1.6,1.56,36.12,2
complejo_habitacional_virgen_de_fatima,2021,primavera,4.94,2.08,37.79,3
complejo_habitacional_virgen_de_fatima,2021,verano,3.42,1.74,42.34,2
complejo_habitacional_virgen_de_fatima,2022,invierno,1.5,-0.19,22.03,2
complejo_habitacional_virgen_de_fatima,2022,otono,1.86,0.71,27.44,3
complejo_habitacional_virgen_de_fatima,2022,primavera,4.53,2.66,35.03,3
complejo_habitacional_virgen_de_fatima,2022,verano,5.07,1.77,45.58,2
complejo_habitacional_virgen_de_fatima,2023,invierno,2.3,1.75,28.83,2
complejo_habitacional_virgen_de_fatima,2023,otono,2.83,1.23,31.1,3
complejo_habitacional_virgen_de_fatima,2023,primavera,5.6,2.72,37.86,3
complejo_habitacional_virgen_de_fatima,2023,verano,2.8,1.51,43.13,3
complejo_habitacional_virgen_de_fatima,2024,invierno,-0.36,-1.08,18.56,2
complejo_habitacional_virgen_de_fatima,2024,otono,0.41,-0.02,28.97,3
complejo_habitacional_virgen_de_fatima,2024,primavera,4.14,0.68,34.38,3
complejo_habitacional_virgen_de_fatima,2024,verano,7.21,1.89,44.69,3
complejo_habitacional_virgen_de_fatima,2025,invierno,3.11,2.29,20.03,3
complejo_habitacional_virgen_de_fatima,2025,otono,3.18,2.39,31.35,3
complejo_habitacional_virgen_de_fatima,2025,primavera,5.31,2.08,35.68,3
complejo_habitacional_virgen_de_fatima,2025,verano,5.19,2.58,43.44,3
complejo_habitacional_virgen_de_fatima,2026,otono,7.98,3.53,41.35,1
complejo_habitacional_virgen_de_fatima,2026,verano,5.32,2.25,42.86,3
don_santiago,2018,invierno,-0.98,-1.24,20.87,1
don_santiago,2018,otono,0.5,-0.45,29.27,3
don_santiago,2018,primavera,0.98,-1.32,32.55,3
don_santiago,2018,verano,-1.59,-1.6,33.6,1
don_santiago,2019,invierno,0.0,-0.74,21.72,2
don_santiago,2019,otono,1.53,-1.15,32.32,2
don_santiago,2019,primavera,1.32,-2.12,32.29,3
don_santiago,2019,verano,3.15,0.19,38.6,2
don_santiago,2020,invierno,-0.32,-0.85,22.25,1
don_santiago,2020,otono,1.42,-1.03,25.97,3
don_santiago,2020,primavera,0.63,-0.38,39.39,2
don_santiago,2020,verano,1.96,-0.85,38.0,2
don_santiago,2021,invierno,0.27,0.44,22.67,1
don_santiago,2021,otono,-1.16,-1.19,33.37,2
don_santiago,2021,primavera,2.31,-0.54,35.17,3
don_santiago,2021,verano,0.68,-1.0,39.61,2
don_santiago,2022,invierno,-0.1,-1.79,20.43,2
don_santiago,2022,otono,0.42,-0.72,26.01,3
don_santiago,2022,primavera,2.04,0.17,32.55,3
don_santiago,2022,verano,1.65,-1.66,42.16,2
don_santiago,2023,invierno,0.84,0.29,27.37,2
don_santiago,2023,otono,1.06,-0.55,29.33,3
don_santiago,2023,primavera,2.8,-0.07,35.06,3
don_santiago,2023,verano,1.3,0.01,41.64,3
don_santiago,2024,invierno,-0.12,-0.84,18.8,2
don_santiago,2024,otono,2.5,2.07,31.06,3
don_santiago,2024,primavera,2.2,-1.26,32.43,3
don_santiago,2024,verano,5.03,0.34,41.62,2
don_santiago,2025,invierno,1.42,0.6,18.33,3
don_santiago,2025,otono,-0.99,-1.54,30.57,2
don_santiago,2025,primavera,1.88,-0.56,30.26,2
don_santiago,2025,verano,1.76,-0.85,40.01,3
don_santiago,2026,verano,2.79,-0.28,40.33,3
el_brete,2018,invierno,0.36,0.1,22.21,1
el_brete,2018,otono,0.48,-0.48,29.24,3
el_brete,2018,primavera,2.78,0.48,34.35,3
el_brete,2018,verano,-0.59,-0.6,34.6,1
el_brete,2019,invierno,0.56,-0.18,22.28,2
el_brete,2019,otono,1.93,-0.75,32.72,2
el_brete,2019,primavera,3.11,-0.33,34.08,3
el_brete,2019,verano,2.44,-0.52,37.89,2
el_brete,2020,invierno,0.67,0.14,23.24,1
el_brete,2020,otono,3.26,0.81,27.82,3
el_brete,2020,primavera,-0.14,-1.16,38.62,2
el_brete,2020,verano,2.23,-0.57,38.28,2
el_brete,2021,invierno,0.02,0.36,19.24,2
el_brete,2021,otono,-0.22,-0.13,30.86,3
el_brete,2021,primavera,2.42,-0.43,35.28,3
el_brete,2021,verano,0.94,-0.75,39.86,2
el_brete,2022,invierno,2.03,0.34,22.56,2
el_brete,2022,otono,1.32,0.18,26.9,3
el_brete,2022,primavera,1.12,-0.75,31.62,3
el_brete,2022,verano,2.32,-0.98,42.82,2
el_brete,2023,invierno,0.83,-0.02,25.86,3
el_brete,2023,otono,1.59,-0.01,29.86,3
el_brete,2023,primavera,1.27,-1.6,33.54,3
el_brete,2023,verano,0.22,-1.08,40.55,3
el_brete,2024,invierno,1.86,0.55,19.74,3
el_brete,2024,otono,0.59,0.16,29.15,3
el_brete,2024,primavera,3.37,-0.09,33.6,3
el_brete,2024,verano,4.82,-0.5,42.3,3
el_brete,2025,invierno,1.37,0.55,18.28,3
el_brete,2025,otono,0.81,0.02,28.98,3
el_brete,2025,primavera,2.94,-0.29,33.31,3
el_brete,2025,verano,2.07,-0.54,40.32,3
el_brete,2026,otono,-2.61,-7.06,30.76,1
el_brete,2026,verano,2.35,-0.71,39.89,3
el_laurel,2018,invierno,-0.85,-1.11,21.0,1
el_laurel,2018,otono,-1.09,-2.05,27.67,3
el_laurel,2018,primavera,-0.81,-3.11,30.77,3
el_laurel,2018,verano,-4.29,-4.3,30.9,1
el_laurel,2019,invierno,-0.91,-1.66,20.81,2
el_laurel,2019,otono,-2.1,-4.78,28.68,2
el_laurel,2019,primavera,-0.16,-3.6,30.81,3
el_laurel,2019,verano,-4.24,-7.19,31.22,2
el_laurel,2020,invierno,-0.8,-1.33,21.77,1
el_laurel,2020,otono,1.06,-1.39,25.62,3
el_laurel,2020,primavera,-3.49,-4.5,35.28,2
el_laurel,2020,verano,-2.0,-4.8,34.04,2
el_laurel,2021,invierno,-0.79,-0.44,18.43,2
el_laurel,2021,otono,-2.81,-2.72,28.27,3
el_laurel,2021,primavera,-0.91,-3.77,31.94,3
el_laurel,2021,verano,-3.09,-4.78,35.83,2
el_laurel,2022,invierno,0.6,-1.1,21.12,2
el_laurel,2022,otono,-0.54,-1.68,25.05,3
