poligono_id,anio,mes,lst_mean,uhi_vs_rural,uhi_vs_ciudad,uhi_anomalia,lst_rural_baseline,n_observaciones_historico,std_historico,fuente_lst,confianza_cross_sensor
san_martin,2018,9,30.68,0.11,-0.15,,30.57,0,,landsat,
villa_sarita,2018,9,29.96,-0.61,-0.87,,30.57,0,,landsat,
el_brete,2018,9,30.09,-0.48,-0.74,,30.57,0,,landsat,
luis_piedrabuena,2018,9,30.7,0.13,-0.13,,30.57,0,,landsat,
san_lucas,2018,9,30.26,-0.31,-0.57,,30.57,0,,landsat,
monsenor_kemerer,2018,9,30.7,0.13,-0.13,,30.57,0,,landsat,
rocamora,2018,9,30.89,0.32,0.06,,30.57,0,,landsat,
yacyreta,2018,9,30.66,0.09,-0.17,,30.57,0,,landsat,
villa_urquiza,2018,9,31.57,1.0,0.74,,30.57,0,,landsat,
complejo_habitacional_virgen_de_fatima,2018,9,32.09,1.52,1.26,,30.57,0,,landsat,
a4_nueva_esperanza,2018,9,33.01,2.44,2.18,,30.57,0,,landsat,
el_laurel,2018,9,27.52,-3.05,-3.31,,30.57,0,,landsat,
cima_del_sol,2018,9,29.42,-1.15,-1.41,,30.57,0,,landsat,
san_isidro,2018,9,31.59,1.02,0.76,,30.57,0,,landsat,
lomas_de_garupa,2018,9,31.95,1.38,1.12,,30.57,0,,landsat,
santa_helena,2018,9,32.04,1.47,1.21,,30.57,0,,landsat,
fatima,2018,9,30.24,-0.33,-0.59,,30.57,0,,landsat,
don_santiago,2018,9,30.86,0.29,0.03,,30.57,0,,landsat,
nu_pora,2018,9,31.13,0.56,0.3,,30.57,0,,landsat,
miguel_lanus,2018,9,30.55,-0.02,-0.28,,30.57,0,,landsat,
norte,2018,9,30.05,-0.52,-0.78,,30.57,0,,landsat,
centro,2018,9,30.11,-0.46,-0.72,,30.57,0,,landsat,
complejo_gervasio_artigas,2018,9,31.26,0.69,0.43,,30.57,0,,landsat,
federal,2018,9,31.9,1.33,1.07,,30.57,0,,landsat,
nemesio_parma,2018,9,29.38,-1.19,-1.45,,30.57,0,,landsat,
villa_cabello,2018,9,30.17,-0.4,-0.66,,30.57,0,,landsat,
itaembe_pora,2018,9,30.95,0.38,0.12,,30.57,0,,landsat,
itaembe_mini,2018,9,31.67,1.1,0.84,,30.57,0,,landsat,
aguas_corrientes,2018,9,30.94,0.37,0.11,,30.57,0,,landsat,
chacra_32,2018,9,32.05,1.48,1.22,,30.57,0,,landsat,
villa_bonita,2018,9,32.03,1.46,1.2,,30.57,0,,landsat,
itaembe_guazu,2018,9,31.23,0.66,0.4,,30.57,0,,landsat,
posadas_completa,2018,9,30.58,0.01,-0.25,,30.57,0,,landsat,
dm_santa_rita,2018,9,30.79,0.22,-0.04,,30.57,0,,landsat,
dm_itaembe_mini_este,2018,9,30.22,-0.35,-0.61,,30.57,0,,landsat,
dm_miguel_lanus,2018,9,29.07,-1.5,-1.76,,30.57,0,,landsat,
cit_riberas_del_parana,2018,9,30.26,-0.31,-0.57,,30.57,0,,landsat,
dm_villa_urquiza,2018,9,31.27,0.7,0.44,,30.57,0,,landsat,
dm_santa_rita_suroeste,2018,9,31.07,0.5,0.24,,30.57,0,,landsat,
puerto_canela,2018,9,30.16,-0.41,-0.67,,30.57,0,,landsat,
villa_dolores,2018,9,31.38,0.81,0.55,,30.57,0,,landsat,
dm_itaembe_mini_este_suroeste,2018,9,30.42,-0.15,-0.41,,30.57,0,,landsat,
los_patitos,2018,9,30.12,-0.45,-0.71,,30.57,0,,landsat,
